table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,12,12,RecentScan,16.672625,,12.0,,,,1,2,RecentScan
ivmh,No Repair,13,13,MarkTs,0.001,,13.0,,,,1,2,
ivmh,No Repair,14,14,Update,0.010958,6.0,,,,,1,2,Update
ivmh,No Repair,15,15,MarkTs,54.475208,,13.0,,,HistoryScan,1,2,BuildSnap
ivmh,No Repair,15,15,HistoryScan,20.677459,,13.0,,,,1,2,HistoryScan
ivmh,No Repair,16,16,RecentScan,20.447708,,16.0,,,,1,2,RecentScan
ivmh,No Repair,17,17,RecentScan,18.441709,,17.0,,,,1,2,RecentScan
ivmh,No Repair,18,18,RecentScan,15.785125,,18.0,,,,1,2,RecentScan
ivmh,No Repair,19,19,RecentScan,17.852959,,19.0,,,,1,2,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,2,
ivmh,No Repair,21,21,Update,0.023542,6.0,,,,,1,2,Update
ivmh,No Repair,22,22,RecentScan,17.191125,,22.0,,,,1,2,RecentScan
ivmh,No Repair,23,23,RecentScan,18.115542,,23.0,,,,1,2,RecentScan
ivmh,No Repair,24,24,RecentScan,16.534875,,24.0,,,,1,2,RecentScan
ivmh,No Repair,25,25,RecentScan,17.094125,,25.0,,,,1,2,RecentScan
ivmh,No Repair,26,26,RecentScan,16.011834,,26.0,,,,1,2,RecentScan
ivmh,No Repair,27,27,MarkTs,0.00125,,27.0,,,,1,2,
ivmh,No Repair,28,28,Update,0.016207999999999997,6.0,,,,,1,2,Update
ivmh,No Repair,29,29,RecentScan,17.157875,,29.0,,,,1,2,RecentScan
ivmh,No Repair,30,30,RecentScan,18.225875,,30.0,,,,1,2,RecentScan
ivmh,No Repair,31,31,RecentScan,16.610917,,31.0,,,,1,2,RecentScan
ivmh,No Repair,32,32,RecentScan,18.851667,,32.0,,,,1,2,RecentScan
ivmh,No Repair,33,33,RecentScan,17.7745,,33.0,,,,1,2,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,2,
ivmh,No Repair,35,35,Update,0.012417,6.0,,,,,1,2,Update
ivmh,No Repair,0,0,InitLoad,14.179833,60000.0,,,,,0,3,BuildCUR
