table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,15,15,HistoryScan,14.668167,,13.0,,,,0,IVMH,3,HistoryScan
ivmh,No Repair,16,16,RecentScan,15.247958,,16.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,17,17,RecentScan,14.811834,,17.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,18,18,RecentScan,15.313042,,18.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,19,19,RecentScan,15.523709,,19.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,3,
ivmh,No Repair,21,21,Update,0.027375,6.0,,,,,0,IVMH,3,Update
ivmh,No Repair,22,22,MarkTs,49.711542,,20.0,,,HistoryScan,0,IVMH,3,BuildSnap
ivmh,No Repair,22,22,HistoryScan,17.551792,,20.0,,,,0,IVMH,3,HistoryScan
ivmh,No Repair,23,23,RecentScan,16.372833,,23.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,24,24,RecentScan,15.599958,,24.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,25,25,RecentScan,15.35525,,25.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,26,26,RecentScan,16.80975,,26.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,27,27,MarkTs,0.0013340000000000001,,27.0,,,,0,IVMH,3,
ivmh,No Repair,28,28,Update,0.015208000000000001,6.0,,,,,0,IVMH,3,Update
ivmh,No Repair,29,29,RecentScan,15.203125,,29.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,30,30,RecentScan,15.052708,,30.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,31,31,RecentScan,14.320458,,31.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,32,32,RecentScan,14.010583,,32.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,33,33,RecentScan,14.099,,33.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,3,
ivmh,No Repair,35,35,Update,0.013375,6.0,,,,,0,IVMH,3,Update
ivmh,No Repair,0,0,InitLoad,13.213375,60000.0,,,,,1,IVMH,3,InitLoad
ivmh,No Repair,1,1,RecentScan,16.271375,,1.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,2,2,RecentScan,16.829959,,2.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,3,3,RecentScan,15.616875,,3.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,4,4,RecentScan,15.737834,,4.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,5,5,RecentScan,15.728208,,5.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001625,,6.0,,,,1,IVMH,3,
ivmh,No Repair,7,7,Update,0.014875,6.0,,,,,1,IVMH,3,Update
ivmh,No Repair,8,8,MarkTs,49.002292,,6.0,,,HistoryScan,1,IVMH,3,BuildSnap
ivmh,No Repair,8,8,HistoryScan,16.362042,,6.0,,,,1,IVMH,3,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.009167,,9.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,10,10,RecentScan,16.242084,,10.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,11,11,RecentScan,15.783083,,11.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,12,12,RecentScan,15.694834,,12.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,IVMH,3,
ivmh,No Repair,14,14,Update,0.012125,6.0,,,,,1,IVMH,3,Update
ivmh,No Repair,15,15,MarkTs,44.935208,,13.0,,,HistoryScan,1,IVMH,3,BuildSnap
ivmh,No Repair,15,15,HistoryScan,16.8425,,13.0,,,,1,IVMH,3,HistoryScan
ivmh,No Repair,16,16,RecentScan,15.275,,16.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,17,17,RecentScan,14.387625,,17.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,18,18,RecentScan,15.914583,,18.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,19,19,RecentScan,15.928125,,19.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,IVMH,3,
ivmh,No Repair,21,21,Update,0.023459,6.0,,,,,1,IVMH,3,Update
ivmh,No Repair,22,22,MarkTs,44.030167,,20.0,,,HistoryScan,1,IVMH,3,BuildSnap
ivmh,No Repair,22,22,HistoryScan,16.756667,,20.0,,,,1,IVMH,3,HistoryScan
ivmh,No Repair,23,23,RecentScan,15.559833,,23.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,24,24,RecentScan,15.103917,,24.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,25,25,RecentScan,15.234542,,25.0,,,,1,IVMH,3,RecentScan
ivmh,No Repair,26,26,RecentScan,16.399334,,26.0,,,,1,IVMH,3,RecentScan
